num_announcements, num_withdrawals, duplicate_announce, longest_aspath, shortest_aspath, avg_as_path, num_prepended_ases, tlong_events, tshort_events, avg_edit_distance, max_edit_distance, num_edited_paths, rare_as1, rare_as2, rare_as3, rare_as4, rare_as5, event_type, mrai
7, 3, 5, 10, 4, 7.204576659038902, 6, 1, 0, 3.0, 3, 1, 0, 0, 0, 0, 0,1,30
10, 4, 8, 20, 5, 7.21503416856492, 36, 3, 0, 6.666666666666667, 11, 3, 0, 0, 0, 0, 0,1,30
33, 5, 20, 20, 3, 7.195691202872531, 34, 2, 1, 3.3333333333333335, 5, 3, 0, 0, 0, 0, 0,1,30
11, 3, 7, 11, 4, 7.195623046002679, 15, 0, 1, 2.0, 3, 2, 0, 0, 0, 0, 0,1,30
28, 4, 22, 14, 3, 7.187031318923688, 38, 0, 0, 2.0, 2, 1, 0, 0, 0, 0, 0,1,30
6, 2, 2, 7, 4, 7.183457985041795, 1, 0, 1, 3.0, 3, 1, 0, 0, 0, 0, 1,1,30
18, 5, 15, 11, 3, 7.17765168048887, 12, 0, 0, 1.0, 1, 1, 0, 0, 0, 0, 0,1,30
34, 3, 13, 18, 4, 7.2034408602150535, 118, 3, 4, 4.0, 7, 7, 0, 0, 0, 0, 0,1,30
6, 3, 6, 11, 4, 7.202488202488203, 11, 0, 1, 6.0, 6, 1, 0, 0, 0, 0, 0,1,30
53, 7, 23, 19, 3, 7.208892617449664, 127, 3, 5, 2.8181818181818183, 7, 11, 0, 0, 0, 0, 0,1,30
24, 0, 12, 14, 3, 7.2063953488372094, 40, 0, 4, 3.25, 4, 4, 0, 0, 0, 0, 0,1,30
22, 4, 16, 9, 3, 7.187654320987654, 13, 1, 5, 3.2857142857142856, 5, 7, 0, 0, 0, 0, 0,1,30
33, 2, 16, 13, 3, 6.602765556253928, 33, 3, 2, 4.25, 10, 8, 0, 0, 0, 0, 0,1,1
5, 1, 2, 8, 5, 6.601503759398496, 1, 1, 0, 4.0, 4, 1, 0, 0, 0, 0, 0,1,1
13, 2, 9, 16, 3, 6.610316967060286, 36, 1, 2, 7.666666666666667, 14, 3, 0, 0, 0, 0, 0,1,1
19, 2, 11, 15, 3, 6.603194103194103, 11, 1, 3, 3.2, 4, 5, 0, 0, 0, 0, 0,1,1
11, 4, 6, 10, 4, 6.603416717510677, 6, 1, 2, 3.4, 8, 5, 0, 0, 0, 0, 0,1,1
34, 5, 20, 16, 3, 6.5959354453078305, 34, 3, 0, 4.333333333333333, 13, 6, 0, 0, 0, 0, 0,1,1
5, 4, 4, 8, 4, 6.592371871275327, 1, 0, 0, 0.0, 0, 0, 0, 0, 0, 0, 0,1,1
17, 4, 11, 16, 3, 6.592920353982301, 29, 1, 2, 5.75, 11, 4, 0, 0, 0, 0, 0,1,1
22, 4, 17, 15, 3, 6.606290040768783, 47, 3, 1, 3.0, 4, 4, 0, 0, 0, 0, 0,1,1
6, 6, 5, 10, 3, 6.608241439349971, 4, 0, 0, 0.0, 0, 0, 0, 0, 0, 0, 0,1,1
31, 9, 23, 15, 3, 6.596351197263398, 30, 1, 0, 1.6666666666666667, 2, 3, 0, 0, 0, 0, 0,1,1
5, 4, 5, 16, 6, 6.608300170551449, 22, 2, 0, 7.5, 11, 2, 0, 0, 0, 0, 0,1,1
22, 5, 13, 14, 3, 6.602470522178551, 20, 0, 0, 1.3333333333333333, 2, 3, 0, 0, 0, 0, 0,1,1
11, 2, 9, 16, 6, 6.619977678571429, 30, 2, 2, 6.5, 14, 4, 0, 0, 0, 0, 0,1,1
22, 5, 16, 12, 3, 6.6047409040793825, 9, 0, 0, 2.0, 2, 1, 0, 0, 0, 0, 0,1,1
6, 3, 2, 8, 5, 6.6038461538461535, 0, 0, 0, 0.0, 0, 0, 0, 0, 0, 0, 0,1,1
30, 5, 24, 16, 3, 6.596756756756757, 41, 4, 3, 4.666666666666667, 13, 9, 0, 0, 0, 0, 0,1,1
6, 4, 4, 10, 4, 6.598599137931035, 6, 0, 0, 0.0, 0, 0, 0, 0, 0, 0, 0,1,1
8, 4, 6, 22, 4, 6.614806866952789, 40, 0, 2, 5.0, 7, 2, 0, 0, 0, 0, 0,1,1
31, 10, 18, 14, 3, 6.620580474934037, 32, 1, 0, 4.0, 4, 1, 0, 0, 0, 0, 0,1,1
10, 3, 4, 12, 5, 6.623097112860893, 6, 3, 1, 3.25, 4, 4, 0, 0, 0, 0, 1,1,1
32, 9, 17, 11, 3, 6.6133195663397, 20, 0, 1, 2.5, 3, 2, 0, 0, 0, 0, 0,1,1
18, 11, 13, 21, 4, 6.634271099744246, 37, 1, 0, 4.0, 4, 1, 0, 0, 0, 0, 0,1,1
12, 13, 9, 10, 3, 6.632435180477885, 14, 0, 1, 6.0, 6, 1, 0, 0, 0, 0, 0,1,1
31, 9, 11, 12, 3, 6.623123123123123, 19, 2, 1, 3.5, 8, 4, 0, 0, 0, 0, 0,1,1
16, 9, 9, 16, 5, 6.630585898709037, 18, 1, 1, 3.25, 6, 4, 0, 0, 0, 0, 0,1,1
14, 5, 7, 16, 3, 6.631163708086785, 20, 0, 1, 4.0, 5, 2, 0, 0, 0, 0, 0,1,1
23, 2, 13, 9, 3, 6.61969770843491, 15, 1, 0, 6.0, 6, 1, 0, 0, 0, 0, 0,1,1
11, 3, 8, 16, 4, 6.626091173617847, 23, 2, 1, 4.0, 5, 3, 0, 0, 0, 0, 0,1,1
26, 7, 17, 8, 3, 6.611590038314176, 16, 1, 0, 2.3333333333333335, 5, 3, 0, 0, 0, 0, 0,1,1
13, 1, 8, 10, 4, 6.614945264159924, 15, 1, 3, 4.5, 8, 4, 0, 0, 0, 0, 0,1,1
19, 6, 13, 16, 3, 6.618867924528302, 29, 1, 3, 4.5, 6, 4, 0, 0, 0, 0, 0,1,1
19, 3, 10, 12, 3, 6.617578307620383, 22, 1, 0, 6.0, 6, 1, 0, 0, 0, 0, 0,1,1
9, 3, 8, 6, 4, 6.611266294227188, 1, 0, 1, 2.5, 3, 2, 0, 0, 0, 0, 0,1,1
34, 4, 23, 16, 3, 6.615032080659945, 68, 3, 2, 4.0, 6, 6, 0, 0, 0, 0, 0,1,1
6, 1, 5, 10, 6, 6.6170018281535645, 10, 0, 1, 3.0, 3, 1, 0, 0, 0, 0, 0,1,1
21, 5, 13, 15, 3, 6.625622453598914, 32, 4, 1, 5.666666666666667, 12, 6, 0, 0, 0, 0, 0,1,1
13, 6, 6, 15, 3, 6.637713771377138, 38, 2, 0, 3.5, 6, 2, 0, 0, 0, 0, 0,1,1
8, 2, 7, 11, 5, 6.6372197309417045, 4, 0, 2, 3.6666666666666665, 5, 3, 0, 0, 0, 0, 0,1,1
42, 4, 19, 19, 3, 6.632042253521127, 60, 2, 2, 4.5, 12, 6, 0, 0, 0, 0, 0,1,1
16, 5, 9, 16, 4, 6.638986013986014, 34, 3, 2, 6.0, 13, 7, 0, 0, 0, 0, 0,1,1
18, 5, 11, 13, 3, 6.6418039895923675, 26, 0, 4, 3.25, 9, 4, 0, 0, 0, 0, 0,1,1
26, 5, 16, 10, 3, 6.626072041166381, 11, 0, 0, 0.0, 0, 0, 0, 0, 0, 0, 0,1,1
13, 1, 7, 21, 4, 6.640511727078891, 41, 2, 1, 7.333333333333333, 12, 3, 0, 0, 0, 0, 0,1,1
13, 2, 8, 10, 3, 6.6340118744698895, 6, 0, 2, 2.3333333333333335, 3, 3, 0, 0, 0, 0, 0,1,1
22, 5, 14, 16, 2, 6.642436974789916, 45, 1, 0, 5.0, 5, 1, 0, 0, 0, 0, 0,1,1
22, 2, 15, 16, 3, 6.644879267277269, 33, 3, 2, 6.75, 14, 8, 0, 0, 0, 0, 1,1,1
25, 7, 18, 10, 3, 6.637000412031314, 29, 1, 1, 2.25, 4, 4, 0, 0, 0, 0, 0,1,1
8, 0, 5, 11, 5, 6.638603696098563, 9, 0, 1, 6.0, 6, 1, 0, 0, 0, 0, 0,1,1
42, 4, 34, 16, 3, 6.62091239402503, 39, 7, 4, 2.5714285714285716, 6, 14, 0, 0, 0, 0, 0,1,1
9, 6, 6, 12, 4, 6.621480289621883, 10, 0, 0, 1.0, 1, 1, 0, 0, 0, 0, 0,1,1
25, 5, 22, 16, 3, 6.621664675428116, 29, 1, 1, 3.6666666666666665, 4, 3, 0, 0, 0, 0, 0,1,1
7, 2, 4, 7, 5, 6.619142176330421, 1, 0, 0, 2.0, 2, 1, 0, 0, 0, 0, 0,1,1
7, 4, 6, 11, 4, 6.619009900990099, 12, 0, 1, 3.5, 6, 2, 0, 0, 0, 0, 0,1,1
24, 3, 18, 16, 4, 6.6308356218124755, 54, 2, 2, 8.25, 11, 4, 0, 0, 0, 0, 0,1,1
4, 5, 4, 10, 6, 6.63219741480611, 6, 1, 0, 8.0, 8, 1, 0, 0, 0, 0, 0,1,1
17, 3, 13, 15, 2, 6.6256809338521405, 10, 0, 0, 1.5, 2, 2, 0, 0, 0, 0, 0,1,1
13, 3, 10, 16, 4, 6.631049167634534, 22, 1, 1, 6.0, 13, 3, 0, 0, 0, 0, 0,1,1
19, 3, 17, 10, 3, 6.626056879323597, 21, 1, 2, 4.333333333333333, 6, 3, 0, 0, 0, 0, 0,1,1
35, 3, 8, 19, 3, 6.604474781949184, 30, 3, 0, 5.25, 15, 4, 0, 0, 0, 0, 0,1,1
28, 3, 19, 20, 3, 6.382450331125828, 34, 3, 2, 7.0, 18, 5, 0, 0, 0, 0, 0,1,15
9, 2, 8, 10, 4, 6.377265238879737, 4, 0, 1, 3.0, 3, 1, 0, 0, 0, 0, 0,1,15
27, 4, 23, 27, 3, 6.383658008658009, 52, 0, 1, 1.3333333333333333, 2, 3, 0, 0, 0, 0, 0,1,15
17, 3, 14, 16, 3, 6.388739946380697, 30, 1, 4, 5.285714285714286, 11, 7, 0, 0, 0, 0, 0,1,15
7, 3, 5, 14, 4, 6.392094017094017, 14, 0, 0, 2.0, 2, 1, 0, 0, 0, 0, 0,1,15
48, 6, 17, 26, 3, 6.427083333333333, 96, 4, 6, 4.090909090909091, 14, 11, 0, 0, 0, 0, 0,1,15
13, 2, 9, 15, 4, 6.427832384893947, 19, 0, 3, 3.3333333333333335, 4, 3, 0, 0, 0, 0, 0,1,15
25, 4, 20, 11, 3, 6.430541368743616, 32, 3, 1, 4.0, 9, 7, 0, 0, 0, 0, 0,1,15
8, 3, 7, 16, 4, 6.431841302136317, 11, 1, 1, 2.5, 3, 2, 0, 0, 0, 0, 0,1,15
19, 5, 13, 14, 4, 6.432745591939547, 27, 0, 2, 6.0, 10, 3, 0, 0, 0, 0, 0,1,15
6, 3, 6, 14, 3, 6.431943746860874, 13, 0, 0, 0.0, 0, 0, 0, 0, 0, 0, 0,1,15
13, 0, 9, 11, 4, 6.4351297405189625, 22, 1, 2, 4.25, 8, 4, 0, 0, 0, 0, 0,1,15
29, 4, 16, 13, 3, 6.424987702902115, 24, 2, 3, 4.285714285714286, 9, 7, 0, 0, 0, 0, 0,1,15
10, 0, 8, 16, 4, 6.431718061674009, 23, 1, 1, 3.5, 4, 2, 0, 0, 0, 0, 0,1,15
7, 1, 6, 11, 5, 6.431707317073171, 2, 1, 0, 3.0, 4, 2, 0, 0, 0, 0, 0,1,15
28, 6, 19, 11, 3, 6.419153031761309, 20, 0, 2, 3.75, 6, 4, 0, 0, 0, 0, 1,1,15
16, 0, 14, 16, 4, 6.428844317096466, 37, 1, 5, 7.333333333333333, 14, 6, 0, 0, 0, 0, 0,1,15
25, 11, 16, 15, 3, 6.421425200566305, 18, 1, 0, 5.5, 9, 2, 0, 0, 0, 0, 0,1,15
10, 1, 9, 15, 4, 6.423203381869422, 12, 0, 4, 5.25, 8, 4, 0, 0, 0, 0, 0,1,15
10, 6, 10, 16, 4, 6.4305750350631135, 26, 1, 0, 3.0, 4, 2, 0, 0, 0, 0, 0,1,15
17, 1, 13, 9, 4, 6.422541743970315, 10, 1, 2, 4.333333333333333, 6, 3, 0, 0, 0, 0, 0,1,15
6, 1, 6, 6, 4, 6.419981498612396, 0, 0, 0, 2.0, 2, 1, 0, 0, 0, 0, 0,1,15
14, 4, 11, 14, 3, 6.420496323529412, 20, 1, 0, 5.0, 5, 1, 0, 0, 0, 0, 0,1,15
