ct
386
466
705
548
915
391
376
485
626
379
433
384
576
374
369
384
377
392
369
745
552
490
723
377
670
541
587
586
390
712
486
382
377
489
562
610
606
411
879
648
616
372
754
780
484
651
632
387
518
654
938
387
505
592
388
414
640
637
584
714
370
507
388
553
389
620
543
522
652
401
376
582
404
553
538
129
407
588
376
669
734
513
384
402
769
648
384
401
628
500
401
402
622
385
395
131
396
426
698
632
377
200
533
152
231
400
379
591
631
414
404
456
468
539
403
477
603
377
140
407
404
432
440
458
531
773
372
589
530
392
420
401
330
523
468
452
444
486
440
395
404
486
372
467
594
402
658
430
627
532
539
371
559
383
393
621
431
372
798
657
457
396
450
607
501
504
390
581
495
594
399
605
368
382
422
557
392
413
492
470
510
397
392
381
469
456
411
840
435
885
240
604
644
387
372
510
420
725
465
397
365
584
583
577
372
369
417
516
363
391
506
652
386
372
562
784
748
525
371
392
411
392
399
364
421
420
386
444
394
386
425
381
400
416
528
381
685
582
387
403
525
380
396
396
460
537
647
744
520
390
460
376
571
389
610
707
806
549
369
371
149
403
383
388
369
430
395
466
664
667
585
380
382
404
496
400
393
